,_id,ltable_id,rtable_id,ltable_authors,ltable_venue,ltable_year,rtable_authors,rtable_venue,rtable_year,is_matched
17,17,505049,journals/vldb/ApersCS02,Richard Snodgrass,ACM Transactions on Database Systems (TODS),2001,"Peter M. G. Apers, Stefano Ceri, Richard T. Snodgrass",VLDB J.,2002,0
18,18,641269,journals/tods/Snodgrass01,"Peter Apers, Stefano Ceri, Richard Snodgrass",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2002,Richard T. Snodgrass,ACM Trans. Database Syst.,2001,0
19,19,641269,journals/tods/Snodgrass01a,"Peter Apers, Stefano Ceri, Richard Snodgrass",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2002,Richard T. Snodgrass,ACM Trans. Database Syst.,2001,0
20,20,641269,journals/vldb/ApersCS02,"Peter Apers, Stefano Ceri, Richard Snodgrass",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2002,"Peter M. G. Apers, Stefano Ceri, Richard T. Snodgrass",VLDB J.,2002,1
21,21,507237,journals/tods/LiuDL02,"Mengchi Liu, Gillian Dobbie, Tok Wang Ling",ACM Transactions on Database Systems (TODS),2002,"Mengchi Liu, Tok Wang Ling, Gillian Dobbie",ACM Trans. Database Syst.,2002,1
22,22,377677,journals/tods/KossmannFDA00,"Donald Kossmann, Michael J. Franklin, Gerhard Drasch, Wig Ag",ACM Transactions on Database Systems (TODS),2000,"Donald Kossmann, Gerhard Drasch, Michael J. Franklin",ACM Trans. Database Syst.,2000,1
23,23,381882,journals/sigmod/AdelbergKG96,"Brad Adelberg, Ben Kao, Hector Garcia-Molina",ACM SIGMOD Record,1996,"Brad Adelberg, Ben Kao, Hector Garcia-Molina",SIGMOD Record,1996,1
24,24,363955,journals/tods/KemmeA00,"Bettina Kemme, Gustavo Alonso",ACM Transactions on Database Systems (TODS),2000,"Gustavo Alonso, Bettina Kemme",ACM Trans. Database Syst.,2000,1
25,25,363954,journals/tods/BaralisW00,"Elena Baralis, Jennifer Widom",ACM Transactions on Database Systems (TODS),2000,"Jennifer Widom, Elena Baralis",ACM Trans. Database Syst.,2000,1
26,26,375666,conf/sigmod/NgWY01,"Raymond T. Ng, Alan Wagner, Yu Yin",International Conference on Management of Data,2001,"Yu Yin, Raymond T. Ng, Alan S. Wagner",SIGMOD Conference,2001,1
27,27,344843,journals/sigmod/KempsterST99,"Tim Kempster, Colin Stirling, Peter Thanisch",ACM SIGMOD Record,1999,"Peter Thanisch, Colin Stirling, Tim Kempster",SIGMOD Record,1999,1
28,28,357778,journals/tods/ParsonsW00,"Jeffrey Parsons, Yair Wand",ACM Transactions on Database Systems (TODS),2000,"Jeffrey Parsons, Yair Wand",ACM Trans. Database Syst.,2000,1
29,29,357777,journals/tods/CuiWW00,"Yingwei Cui, Jennifer Widom, Janet L. Wiener",ACM Transactions on Database Systems (TODS),2000,"Janet L. Wiener, Yingwei Cui, Jennifer Widom",ACM Trans. Database Syst.,2000,1
31,31,601865,journals/sigmod/Aberer03d,Karl Aberer,ACM SIGMOD Record,2002,Karl Aberer,SIGMOD Record,2003,0
33,33,604274,journals/sigmod/Aberer03d,Karl Aberer,ACM SIGMOD Record,2001,Karl Aberer,SIGMOD Record,2003,0
35,35,507353,journals/sigmod/Aberer03d,Karl Aberer,ACM SIGMOD Record,2002,Karl Aberer,SIGMOD Record,2003,0
37,37,959078,journals/sigmod/Aberer03d,Karl Aberer,ACM SIGMOD Record,2003,Karl Aberer,SIGMOD Record,2003,1
38,38,959078,journals/sigmod/Aberer03b,Karl Aberer,ACM SIGMOD Record,2003,Karl Aberer,SIGMOD Record,2003,1
39,39,568519,journals/tods/BrunoCG02,"Nicolas Bruno, Surajit Chaudhuri, Luis Gravano",ACM Transactions on Database Systems (TODS),2002,"Surajit Chaudhuri, Nicolas Bruno, Luis Gravano",ACM Trans. Database Syst.,2002,1
40,40,581752,journals/tods/CaldersNW02,"Toon Calders, Raymond T. Ng, Jef Wijsen",ACM Transactions on Database Systems (TODS),2002,"Jef Wijsen, Toon Calders, Raymond T. Ng",ACM Trans. Database Syst.,2002,1
41,41,582412,journals/tods/CiacciaP02,"Paolo Ciaccia, Marco Patella",ACM Transactions on Database Systems (TODS),2002,"Marco Patella, Paolo Ciaccia",ACM Trans. Database Syst.,2002,1
42,42,581754,journals/tods/TaoPZ02,"Yufei Tao, Dimitris Papadias, Jun Zhang",ACM Transactions on Database Systems (TODS),2002,"Yufei Tao, Jun Zhang, Dimitris Papadias",ACM Trans. Database Syst.,2002,1
43,43,581753,journals/tods/GibbonsMP02,"Phillip B. Gibbons, Yossi Matias, Viswanath Poosala",ACM Transactions on Database Systems (TODS),2002,"Viswanath Poosala, Phillip B. Gibbons, Yossi Matias",ACM Trans. Database Syst.,2002,1
44,44,604262,journals/sigmod/RossCGLLM01,Kenneth A. Ross,ACM SIGMOD Record,2001,"Per-Åke Larson, Luis Gravano, Stefano Ceri, Leonid Libkin, Tova Milo, Kenneth A. Ross",SIGMOD Record,2001,0
45,45,604262,journals/sigmod/RossFLOSSVW00,Kenneth A. Ross,ACM SIGMOD Record,2001,"Gerhard Weikum, Alon Y. Levy, Divesh Srivastava, Eric Simon, Patrick E. O'Neil, Victor Vianu, Kenneth A. Ross, Christos Faloutsos",SIGMOD Record,2000,0
46,46,604262,journals/sigmod/RossIJP00,Kenneth A. Ross,ACM SIGMOD Record,2001,"Christos H. Papadimitriou, Anant Jhingran, Yannis E. Ioannidis, Kenneth A. Ross",SIGMOD Record,2000,0
47,47,604262,journals/sigmod/RossHLW01,Kenneth A. Ross,ACM SIGMOD Record,2001,"James R. Hamilton, Limsoon Wong, Kenneth A. Ross, Laks V. S. Lakshmanan",SIGMOD Record,2001,0
48,48,604262,journals/sigmod/RossNO03,Kenneth A. Ross,ACM SIGMOD Record,2001,"Kenneth A. Ross, Beng Chin Ooi, Frank Neven",SIGMOD Record,2003,0
49,49,604262,journals/sigmod/Snodgrass98a,Kenneth A. Ross,ACM SIGMOD Record,2001,Richard T. Snodgrass,SIGMOD Record,1998,0
50,50,604262,journals/sigmod/RossAJS02,Kenneth A. Ross,ACM SIGMOD Record,2001,"Theodore Johnson, Amr El Abbadi, Richard T. Snodgrass, Kenneth A. Ross",SIGMOD Record,2002,0
51,51,604262,journals/sigmod/SnodgrassGIMSU98,Kenneth A. Ross,ACM SIGMOD Record,2001,"Hector Garcia-Molina, Patricia G. Selinger, Tomasz Imielinski, David Maier, Jeffrey D. Ullman, Richard T. Snodgrass",SIGMOD Record,1998,0
52,52,604262,journals/sigmod/RossAKSSY00,Kenneth A. Ross,ACM SIGMOD Record,2001,"S. Sudarshan, Charu C. Aggarwal, Mihalis Yannakakis, Alfons Kemper, Kenneth A. Ross, Sunita Sarawagi",SIGMOD Record,2000,0
54,54,604262,journals/sigmod/SnodgrassACFLLORRSV99,Kenneth A. Ross,ACM SIGMOD Record,2001,"Patrick Valduriez, Serge Abiteboul, Sophie Cluet, Kenneth A. Ross, Raghu Ramakrishnan, Guy M. Lohman, David B. Lomet, Richard T. Snodgrass, Gultekin Özsoyoglu, Michael J. Franklin, Timos K. Sellis",SIGMOD Record,1999,0
55,55,604262,journals/sigmod/RossGR03,Kenneth A. Ross,ACM SIGMOD Record,2001,"Jun Rao, Kenneth A. Ross, Johannes Gehrke",SIGMOD Record,2003,0
56,56,604262,journals/sigmod/SnodgrassHMOPRRWY98,Kenneth A. Ross,ACM SIGMOD Record,2001,"Z. Meral Özsoyoglu, Philip S. Yu, Nick Roussopoulos, Krithi Ramamritham, Alberto O. Mendelzon, Richard T. Snodgrass, Laura M. Haas, Jennifer Widom, Jan Paredaens",SIGMOD Record,1998,0
57,57,604262,journals/sigmod/RossFS02,Kenneth A. Ross,ACM SIGMOD Record,2001,"Kenneth A. Ross, Kyuseok Shim, Mary F. Fernandez",SIGMOD Record,2002,0
58,58,604262,journals/sigmod/RossKMV02,Kenneth A. Ross,ACM SIGMOD Record,2001,"Kaladhar Voruganti, Renée J. Miller, Kenneth A. Ross, Flip Korn",SIGMOD Record,2002,0
59,59,602302,journals/sigmod/RossCGLLM01,Kenneth A. Ross,ACM SIGMOD Record,2000,"Per-Åke Larson, Luis Gravano, Stefano Ceri, Leonid Libkin, Tova Milo, Kenneth A. Ross",SIGMOD Record,2001,0
60,60,602302,journals/sigmod/RossFLOSSVW00,Kenneth A. Ross,ACM SIGMOD Record,2000,"Gerhard Weikum, Alon Y. Levy, Divesh Srivastava, Eric Simon, Patrick E. O'Neil, Victor Vianu, Kenneth A. Ross, Christos Faloutsos",SIGMOD Record,2000,0
61,61,602302,journals/sigmod/RossIJP00,Kenneth A. Ross,ACM SIGMOD Record,2000,"Christos H. Papadimitriou, Anant Jhingran, Yannis E. Ioannidis, Kenneth A. Ross",SIGMOD Record,2000,0
63,63,602302,journals/sigmod/RossNO03,Kenneth A. Ross,ACM SIGMOD Record,2000,"Kenneth A. Ross, Beng Chin Ooi, Frank Neven",SIGMOD Record,2003,0
64,64,602302,journals/sigmod/Snodgrass98a,Kenneth A. Ross,ACM SIGMOD Record,2000,Richard T. Snodgrass,SIGMOD Record,1998,0
65,65,602302,journals/sigmod/RossAJS02,Kenneth A. Ross,ACM SIGMOD Record,2000,"Theodore Johnson, Amr El Abbadi, Richard T. Snodgrass, Kenneth A. Ross",SIGMOD Record,2002,0
66,66,602302,journals/sigmod/SnodgrassGIMSU98,Kenneth A. Ross,ACM SIGMOD Record,2000,"Hector Garcia-Molina, Patricia G. Selinger, Tomasz Imielinski, David Maier, Jeffrey D. Ullman, Richard T. Snodgrass",SIGMOD Record,1998,0
67,67,602302,journals/sigmod/RossAKSSY00,Kenneth A. Ross,ACM SIGMOD Record,2000,"S. Sudarshan, Charu C. Aggarwal, Mihalis Yannakakis, Alfons Kemper, Kenneth A. Ross, Sunita Sarawagi",SIGMOD Record,2000,0
69,69,602302,journals/sigmod/SnodgrassACFLLORRSV99,Kenneth A. Ross,ACM SIGMOD Record,2000,"Patrick Valduriez, Serge Abiteboul, Sophie Cluet, Kenneth A. Ross, Raghu Ramakrishnan, Guy M. Lohman, David B. Lomet, Richard T. Snodgrass, Gultekin Özsoyoglu, Michael J. Franklin, Timos K. Sellis",SIGMOD Record,1999,0
70,70,602302,journals/sigmod/RossGR03,Kenneth A. Ross,ACM SIGMOD Record,2000,"Jun Rao, Kenneth A. Ross, Johannes Gehrke",SIGMOD Record,2003,0
71,71,602302,journals/sigmod/SnodgrassHMOPRRWY98,Kenneth A. Ross,ACM SIGMOD Record,2000,"Z. Meral Özsoyoglu, Philip S. Yu, Nick Roussopoulos, Krithi Ramamritham, Alberto O. Mendelzon, Richard T. Snodgrass, Laura M. Haas, Jennifer Widom, Jan Paredaens",SIGMOD Record,1998,0
72,72,602302,journals/sigmod/RossFS02,Kenneth A. Ross,ACM SIGMOD Record,2000,"Kenneth A. Ross, Kyuseok Shim, Mary F. Fernandez",SIGMOD Record,2002,0
73,73,602302,journals/sigmod/RossKMV02,Kenneth A. Ross,ACM SIGMOD Record,2000,"Kaladhar Voruganti, Renée J. Miller, Kenneth A. Ross, Flip Korn",SIGMOD Record,2002,0
74,74,564697,conf/sigmod/ViglasN02,"Stratis D. Viglas, Jeffrey F. Naughton",International Conference on Management of Data,2002,"Jeffrey F. Naughton, Stratis Viglas",SIGMOD Conference,2002,1
75,75,564693,conf/sigmod/BunemanKTT02,"Peter Buneman, Sanjeev Khanna, Keishi Tajima, Wang-Chiew Tan",International Conference on Management of Data,2002,"Sanjeev Khanna, Peter Buneman, Wang Chiew Tan, Keishi Tajima",SIGMOD Conference,2002,1
76,76,564701,conf/sigmod/OlstonW02,"Chris Olston, Jennifer Widom",International Conference on Management of Data,2002,"Chris Olston, Jennifer Widom",SIGMOD Conference,2002,1
77,77,564699,conf/sigmod/DobraGGR02,"Alin Dobra, Minos Garofalakis, Johannes Gehrke, Rajeev Rastogi",International Conference on Management of Data,2002,"Alin Dobra, Johannes Gehrke, Rajeev Rastogi, Minos N. Garofalakis",SIGMOD Conference,2002,1
79,79,564737,conf/sigmod/WangWYY02,"Haixun Wang, Wei Wang, Jiong Yang, Philip S. Yu",International Conference on Management of Data,2002,"Haixun Wang, Wei Wang, Philip S. Yu, Jiong Yang",SIGMOD Conference,2002,1
81,81,564739,conf/sigmod/ProcopiucJAM02,"Cecilia M. Procopiuc, Michael Jones, Pankaj K. Agarwal, T. M. Murali",International Conference on Management of Data,2002,"Michael Jones, Pankaj K. Agarwal, T. M. Murali, Cecilia Magdalena Procopiuc",SIGMOD Conference,2002,1
82,82,564738,conf/sigmod/YangWYH02,"Jiong Yang, Wei Wang, Philip S. Yu, Jiawei Han",International Conference on Management of Data,2002,"Wei Wang, Philip S. Yu, Jiong Yang, Jiawei Han",SIGMOD Conference,2002,1
83,83,564742,conf/sigmod/ChoiC02,"Yong-Jin Choi, Chin-Wan Chung",International Conference on Management of Data,2002,"Yong-Jin Choi, Chin-Wan Chung",SIGMOD Conference,2002,1
86,86,564726,conf/sigmod/Ramanan02,Prakash Ramanan,International Conference on Management of Data,2002,Prakash Ramanan,SIGMOD Conference,2002,1
87,87,564725,conf/sigmod/GuhaJKSY02,"Sudipto Guha, H. V. Jagadish, Nick Koudas, Divesh Srivastava, Ting Yu",International Conference on Management of Data,2002,"H. V. Jagadish, Ting Yu, Divesh Srivastava, Sudipto Guha, Nick Koudas",SIGMOD Conference,2002,1
89,89,564727,conf/sigmod/BrunoKS02,"Nicolas Bruno, Nick Koudas, Divesh Srivastava",International Conference on Management of Data,2002,"Divesh Srivastava, Nick Koudas, Nicolas Bruno",SIGMOD Conference,2002,1
90,90,564731,conf/sigmod/ChangH02,"Kevin Chen-Chuan Chang, Seung-won Hwang",International Conference on Management of Data,2002,"Kevin Chen-Chuan Chang, Seung-won Hwang",SIGMOD Conference,2002,1
91,91,564730,conf/sigmod/TaoP02,"Yufei Tao, Dimitris Papadias",International Conference on Management of Data,2002,"Dimitris Papadias, Yufei Tao",SIGMOD Conference,2002,1
92,92,564734,conf/sigmod/GaoW02,"Like Gao, X. Sean Wang",International Conference on Management of Data,2002,"Like Gao, Xiaoyang Sean Wang",SIGMOD Conference,2002,1
93,93,564733,conf/sigmod/PolyzotisG02,"Neoklis Polyzotis, Minos Garofalakis",International Conference on Management of Data,2002,"Minos N. Garofalakis, Neoklis Polyzotis",SIGMOD Conference,2002,1
95,95,564715,conf/sigmod/TatarinovVBSSZ02,"Igor Tatarinov, Stratis D. Viglas, Kevin Beyer, Jayavel Shanmugasundaram, Eugene Shekita, Chun Zhang",International Conference on Management of Data,2002,"Kevin S. Beyer, Jayavel Shanmugasundaram, Chun Zhang, Igor Tatarinov, Stratis Viglas, Eugene J. Shekita",SIGMOD Conference,2002,1
96,96,564717,conf/sigmod/HacigumusILM02,"Hakan Hacig&#252;m&#252;&#351;, Bala Iyer, Chen Li, Sharad Mehrotra",International Conference on Management of Data,2002,"Hakan Hacigümüs, Chen Li, Sharad Mehrotra, Balakrishna R. Iyer",SIGMOD Conference,2002,0
98,98,564719,conf/sigmod/DasuJMS02,"Tamraparni Dasu, Theodore Johnson, S. Muthukrishnan, Vladislav Shkapenyuk",International Conference on Management of Data,2002,"Vladislav Shkapenyuk, Tamraparni Dasu, S. Muthukrishnan, Theodore Johnson",SIGMOD Conference,2002,1
100,100,564722,conf/sigmod/BrunoC02,"Nicolas Bruno, Surajit Chaudhuri",International Conference on Management of Data,2002,"Nicolas Bruno, Surajit Chaudhuri",SIGMOD Conference,2002,1
102,102,564703,conf/sigmod/DattaDTVSR02,"Anindya Datta, Kaushik Dutta, Helen Thomas, Debra VanderMeer,  Suresha, Krithi Ramamritham",International Conference on Management of Data,2002,"Suresha, Kaushik Dutta, Krithi Ramamritham, Anindya Datta, Helen M. Thomas, Debra E. VanderMeer",SIGMOD Conference,2002,1
103,103,564706,conf/sigmod/ChungMS02,"Chin-Wan Chung, Jun-Ki Min, Kyuseok Shim",International Conference on Management of Data,2002,"Chin-Wan Chung, Kyuseok Shim, Jun-Ki Min",SIGMOD Conference,2002,1
104,104,564709,conf/sigmod/ZhouR02,"Jingren Zhou, Kenneth A. Ross",International Conference on Management of Data,2002,"Kenneth A. Ross, Jingren Zhou",SIGMOD Conference,2002,1
105,105,564711,conf/sigmod/LiGS02,"Wei Li, Dengfeng Gao, Richard Thomas Snodgrass",International Conference on Management of Data,2002,"Richard T. Snodgrass, Wei Li, Dengfeng Gao",SIGMOD Conference,2002,1
106,106,564784,conf/sigmod/HinneburgKW02,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",International Conference on Management of Data,2002,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,1
107,107,564779,conf/sigmod/FlorescuGKR02,"Daniela Florescu, Andreas Gr&#252;nhagen, Donald Kossmann, Steffen Rost",International Conference on Management of Data,2002,"Andreas Grünhagen, Steffen Rost, Donald Kossmann, Daniela Florescu",SIGMOD Conference,2002,1
108,108,564777,conf/sigmod/CranorGJSS02,"Chuck Cranor, Yuan Gao, Theodore Johnson, Vlaidslav Shkapenyuk, Oliver Spatscheck",International Conference on Management of Data,2002,"Yuan Gao, Theodore Johnson, Charles D. Cranor, Vladislav Shkapenyuk, Oliver Spatscheck",SIGMOD Conference,2002,0
109,109,564776,conf/sigmod/MaddenH02,"Samuel Madden, Joseph M. Hellerstein",International Conference on Management of Data,2002,"Samuel Madden, Joseph M. Hellerstein",SIGMOD Conference,2002,1
110,110,564775,conf/sigmod/FungSG02,"Wai Fu Fung, David Sun, Johannes Gehrke",International Conference on Management of Data,2002,"Wai Fu Fung, David Sun, Johannes Gehrke",SIGMOD Conference,2002,1
112,112,564773,conf/sigmod/KarbhariRXD02,"Pradnya Karbhari, Michael Rabinovich, Zhen Xiao, Fred Douglis",International Conference on Management of Data,2002,"Michael Rabinovich, Pradnya Karbhari, Fred Douglis, Zhen Xiao",SIGMOD Conference,2002,1
113,113,564771,conf/sigmod/ChenRW02,"Li Chen, Elke A. Rundensteiner, Song Wang",International Conference on Management of Data,2002,"Elke A. Rundensteiner, Song Wang, Li Chen",SIGMOD Conference,2002,1
114,114,564770,conf/sigmod/AbadiC02,"Daniel J. Abadi, Mitch Cherniack",International Conference on Management of Data,2002,"Daniel J. Abadi, Mitch Cherniack",SIGMOD Conference,2002,1
115,115,564769,conf/sigmod/BarbosaMKL02,"Denilson Barbosa, Alberto Mendelzon, John Keenleyside, Kelly Lyons",International Conference on Management of Data,2002,"Alberto O. Mendelzon, John Keenleyside, Denilson Barbosa, Kelly A. Lyons",SIGMOD Conference,2002,1
116,116,564767,conf/sigmod/ZhangMCMR02,"Xin Zhang, Mukesh Mulchandani, Steffen Christ, Brian Murphy, Elke A. Rundensteiner",International Conference on Management of Data,2002,"Mukesh Mulchandani, Elke A. Rundensteiner, Xin Zhang, Brian Murphy, Steffen Christ",SIGMOD Conference,2002,1
117,117,564765,conf/sigmod/AltinelLKMPLWB02,"Mehmet Altinel, Qiong Luo, Sailesh Krishnamurthy, C. Mohan, Hamid Pirahesh, Bruce G. Lindsay, Honguk Woo, Larry Brown",International Conference on Management of Data,2002,"Sailesh Krishnamurthy, C. Mohan, Larry Brown, Hamid Pirahesh, Mehmet Altinel, Honguk Woo, Qiong Luo, Bruce G. Lindsay",SIGMOD Conference,2002,1
118,118,564766,conf/sigmod/MarklL02,"Volker Markl, Guy Lohman",International Conference on Management of Data,2002,"Volker Markl, Guy M. Lohman",SIGMOD Conference,2002,1
119,119,564762,conf/sigmod/AntonJLPZZ02,"Jesse Anton, Lawrence Jacobs, Xiang Liu, Jordan Parker, Zheng Zeng, Tie Zhong",International Conference on Management of Data,2002,"Jordan Parker, Jesse Anton, Zheng Zeng, Lawrence Jacobs, Tie Zhong, Xiang Liu",SIGMOD Conference,2002,1
120,120,564763,conf/sigmod/LuoKMPWLN02,"Qiong Luo, Sailesh Krishnamurthy, C. Mohan, Hamid Pirahesh, Honguk Woo, Bruce G. Lindsay, Jeffrey F. Naughton",International Conference on Management of Data,2002,"Hamid Pirahesh, C. Mohan, Jeffrey F. Naughton, Sailesh Krishnamurthy, Honguk Woo, Qiong Luo, Bruce G. Lindsay",SIGMOD Conference,2002,1
121,121,564759,conf/sigmod/PossSKL02,"Meikel Poess, Bryan Smith, Lubor Kollar, Paul Larson",International Conference on Management of Data,2002,"Bryan Smith, Meikel Pöss, Lubor Kollár, Per-Åke Larson",SIGMOD Conference,2002,0
123,123,564758,conf/sigmod/SzalayGTKMRSv02,"Alexander S. Szalay, Jim Gray, Ani R. Thakar, Peter Z. Kunszt, Tanu Malik, Jordan Raddick, Christopher Stoughton, Jan vandenBerg",International Conference on Management of Data,2002,"Tanu Malik, Jordan Raddick, Alexander S. Szalay, Peter Z. Kunszt, Jim Gray, Christopher Stoughton, Ani Thakar, Jan vandenBerg",SIGMOD Conference,2002,1
124,124,564754,conf/sigmod/Weininger02,Andreas Weininger,International Conference on Management of Data,2002,Andreas Weininger,SIGMOD Conference,2002,1
125,125,564755,conf/sigmod/KanthRA02,"Ravi Kanth V Kothuri, Siva Ravada, Daniel Abugov",International Conference on Management of Data,2002,"Kothuri Venkata Ravi Kanth, Siva Ravada, Daniel Abugov",SIGMOD Conference,2002,1
127,127,564753,conf/sigmod/BumbulisB02,"Peter Bumbulis, Ivan T. Bowman",International Conference on Management of Data,2002,"Ivan T. Bowman, Peter Bumbulis",SIGMOD Conference,2002,1
129,129,564747,conf/sigmod/ChaudhuriGN02,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek Narasayya",International Conference on Management of Data,2002,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek R. Narasayya",SIGMOD Conference,2002,1
130,130,564799,conf/sigmod/ShashaB02,"Dennis Shasha, Philippe Bonnet",International Conference on Management of Data,2002,"Dennis Shasha, Philippe Bonnet",SIGMOD Conference,2002,1
131,131,564801,conf/sigmod/Bussler02,Christoph Bussler,International Conference on Management of Data,2002,Christoph Bussler,SIGMOD Conference,2002,1
133,133,564794,conf/sigmod/GarofalakisGR02,"Minos Garofalakis, Johannes Gehrke, Rajeev Rastogi",International Conference on Management of Data,2002,"Minos N. Garofalakis, Rajeev Rastogi, Johannes Gehrke",SIGMOD Conference,2002,1
134,134,564796,conf/sigmod/Mohan02,C. Mohan,International Conference on Management of Data,2002,C. Mohan,SIGMOD Conference,2002,1
135,135,564798,conf/sigmod/ShashaB02a,"Dennis Shasha, Philippe Bonnet",International Conference on Management of Data,2002,"Dennis Shasha, Philippe Bonnet",SIGMOD Conference,2002,1
136,136,564785,conf/sigmod/LuWYBLY02,"Hongjun Lu, Guoren Wang, Ge Yu, Yubin Bao, Jianhua Lv, Yaxin Yu",International Conference on Management of Data,2002,"Jianhua Lv, Yubin Bao, Hongjun Lu, Ge Yu, Guoren Wang, Yaxin Yu",SIGMOD Conference,2002,1
138,138,564788,conf/sigmod/HellersteinW02,"Joseph M. Hellerstein, Jennifer Widom",International Conference on Management of Data,2002,"Joseph M. Hellerstein, Jennifer Widom",SIGMOD Conference,2002,1
139,139,564790,conf/sigmod/Bonnet02,Philippe Bonnet,International Conference on Management of Data,2002,Philippe Bonnet,SIGMOD Conference,2002,1
140,140,671334,conf/vldb/KnorrN98,"Edwin M. Knorr, Raymond T. Ng",Very Large Data Bases,1998,"Raymond T. Ng, Edwin M. Knorr",VLDB,1998,1
141,141,671333,conf/vldb/BlottKS98,"Stephen Blott, Henry F. Korth, Abraham Silberschatz",Very Large Data Bases,1998,"Henry F. Korth, Stephen Blott, Abraham Silberschatz",VLDB,1998,1
142,142,671336,conf/vldb/Vieille98,Laurent Vieille,Very Large Data Bases,1998,Laurent Vieille,VLDB,1998,1
144,144,671338,conf/vldb/FangSGMU98,"Min Fang, Narayanan Shivakumar, Hector Garcia-Molina, Rajeev Motwani, Jeffrey D. Ullman",Very Large Data Bases,1998,"Hector Garcia-Molina, Narayanan Shivakumar, Jeffrey D. Ullman, Rajeev Motwani, Min Fang",VLDB,1998,1
145,145,671337,conf/vldb/NipplM98,"Clara Nippl, Bernhard Mitschang",Very Large Data Bases,1998,"Bernhard Mitschang, Clara Nippl",VLDB,1998,1
147,147,671339,conf/vldb/BliujuteJSS98,"Rasa Bliujute, Christian S. Jensen, Simonas Saltenis, Giedrius Slivinskas",Very Large Data Bases,1998,"Simonas Saltenis, Christian S. Jensen, Giedrius Slivinskas, Rasa Bliujute",VLDB,1998,1
